Date,CPIAUCSL,WTISPLC,T5YIFRM,MRTSSM44X72USS,INDPRO,SPCS20RSA,UNRATE,M2SL,PPIACO,FEDFUNDS
31/01/2013,232.937,95.32,2.86,417159,98.6458,149.5657199,7.7,10479.1,204.3,0.15
28/02/2013,232.282,93.05,2.85,414092,99.0597,150.9637752,7.5,10547.2,204,0.14
31/03/2013,231.797,92.07,2.73,412237,98.9927,153.8614087,7.6,10583.2,203.5,0.15
30/04/2013,231.893,94.8,2.6,414309,99.0726,156.0017078,7.5,10625.4,204.1,0.11
31/05/2013,232.445,95.8,2.31,415742,99.2065,157.8307038,7.5,10682.2,204.3,0.09
30/06/2013,232.9,104.61,2.39,418604,98.9204,159.6063223,7.3,10728.1,204.4,0.09
31/07/2013,233.456,106.57,2.53,417644,99.4996,161.555975,7.2,10787.4,204.2,0.08
31/08/2013,233.544,106.29,2.53,417849,100.0568,163.2909256,7.2,10838.3,203.9,0.08
30/09/2013,233.669,100.54,2.6,419599,99.9168,164.8076978,7.2,10953.7,202.5,0.09
31/10/2013,234.1,93.86,2.59,420658,100.1762,166.016598,6.9,10966.1,201.2,0.08
30/11/2013,234.719,97.63,2.65,423362,100.3658,166.9138968,6.7,11026.1,202,0.09
31/12/2013,235.288,94.62,2.72,418947,100.038,167.8626649,6.6,11076.3,203.8,0.07
31/01/2014,235.547,100.82,2.54,425005,100.7918,168.469207,6.7,11158.1,205.7,0.07
28/02/2014,236.028,100.8,2.54,429658,101.7782,169.1796348,6.7,11197.7,207,0.08
31/03/2014,236.468,102.07,2.53,433826,101.8337,169.9383058,6.2,11254.3,208.3,0.09
30/04/2014,236.918,102.18,2.45,434640,102.2325,170.2261164,6.3,11323.9,208,0.09
31/05/2014,237.231,105.79,2.49,435816,102.5722,170.531843,6.1,11378.3,208.3,0.1
30/06/2014,237.498,103.59,2.55,436442,102.8479,170.6368509,6.2,11437.5,208,0.09
31/07/2014,237.46,96.54,2.56,439680,102.6491,170.9716756,6.1,11467,207,0.09
31/08/2014,237.477,93.21,2.47,438842,102.9858,171.4786788,5.9,11500.5,206.4,0.09
30/09/2014,237.43,84.4,2.35,440164,102.9911,172.4025027,5.7,11560.9,203.4,0.09
31/10/2014,236.983,75.79,2.28,441536,103.6669,173.1692695,5.8,11601.9,200.9,0.09
30/11/2014,236.252,59.29,2.13,439077,103.6139,174.2000128,5.6,11678.7,197,0.12
31/12/2014,234.747,47.22,2.02,436482,102.8479,175.0583135,5.7,11742.4,192,0.11
31/01/2015,235.342,50.58,2.08,435847,102.2292,176.290883,5.5,11861.1,191.1,0.11
28/02/2015,235.976,47.82,2.04,442487,101.8945,176.9600754,5.4,11876.9,191.5,0.11
31/03/2015,236.222,54.45,2.11,443095,101.2859,177.7300925,5.4,11924.7,190.9,0.12
30/04/2015,237.001,59.27,2.1,446529,100.8408,178.2805743,5.6,11957.7,193.4,0.12
31/05/2015,237.657,59.82,2.09,447343,100.5063,178.8432832,5.3,12003.2,194.8,0.13
30/06/2015,238.034,50.9,2.15,450350,101.1831,179.3851356,5.2,12055.8,193.9,0.13
31/07/2015,238.033,42.87,1.99,450521,100.9115,180.0259521,5.1,12106.7,191.9,0.14
31/08/2015,237.498,45.48,1.88,448635,100.568,180.9138976,5,12161.4,189.1,0.14
30/09/2015,237.733,46.22,1.82,447262,100.1588,181.9052475,5,12193.8,187.5,0.12
31/10/2015,238.017,42.44,1.87,449121,99.4099,182.9900815,5.1,12283,185.7,0.12
30/11/2015,237.761,37.19,1.78,450792,98.8329,183.8222979,5,12341,183.5,0.24
31/12/2015,237.652,31.68,1.65,447794,99.4797,184.683719,4.8,12467.2,182.6,0.34
31/01/2016,237.336,30.32,1.54,452342,98.9583,185.3417922,4.9,12542.8,181.3,0.38
29/02/2016,238.08,37.55,1.69,450830,98.1954,186.0951644,5,12607,182.1,0.36
31/03/2016,238.992,40.75,1.76,452430,98.4673,186.9569898,5.1,12695.8,183.2,0.37
30/04/2016,239.557,46.71,1.68,454443,98.2889,187.4430406,4.8,12763.1,185.3,0.37
31/05/2016,240.222,48.76,1.5,459052,98.7201,188.0975901,4.9,12829.4,187.6,0.38
30/06/2016,240.101,44.65,1.53,458060,98.8992,188.7643505,4.8,12889.9,187.7,0.39
31/07/2016,240.545,44.72,1.64,458771,98.7249,189.6110938,4.9,12976.7,186.6,0.4
31/08/2016,241.176,45.18,1.67,461324,98.606,190.3615016,5,13037.4,186.9,0.4
30/09/2016,241.741,49.78,1.79,462770,98.6703,191.2272198,4.9,13106,186.7,0.4
31/10/2016,242.026,45.66,1.97,462407,98.2288,192.4171474,4.7,13177.5,186.3,0.41
30/11/2016,242.637,51.97,2.05,468061,98.8958,193.6936923,4.7,13210.6,188.2,0.54
31/12/2016,243.618,52.5,2.13,473484,98.7446,194.9849489,4.7,13283.6,190.7,0.65
31/01/2017,244.006,53.47,2.15,472995,98.3676,195.8481757,4.6,13352.3,191.6,0.66
28/02/2017,243.892,49.33,2.15,471999,99.1065,196.6153316,4.4,13421.5,191.5,0.79
31/03/2017,244.193,51.06,2.08,474363,100.0363,197.3445197,4.4,13483.8,193,0.9
30/04/2017,244.004,48.48,1.91,472010,100.147,198.1121304,4.4,13535.7,192.8,0.91
31/05/2017,244.163,45.18,1.83,473768,100.3042,198.8554035,4.3,13559.8,193.6,1.04
30/06/2017,244.243,46.63,1.9,473959,100.2092,200.0099688,4.3,13622,193.5,1.15
31/07/2017,245.183,48.04,1.94,474703,99.7055,201.0519783,4.4,13680.5,193.8,1.16
31/08/2017,246.435,49.82,1.98,484385,99.7485,202.309884,4.3,13723,194.8,1.15
30/09/2017,246.626,51.58,1.99,485059,100.988,203.3792317,4.2,13778.2,194.9,1.15
31/10/2017,247.284,56.64,1.95,490007,101.273,204.5956392,4.2,13805,195.9,1.16
30/11/2017,247.805,57.88,2.04,492401,101.3696,205.7290584,4.1,13853,196.3,1.3
31/12/2017,248.743,63.7,2.15,491492,101.3561,207.2098743,4,13868.9,197.9,1.41
31/01/2018,249.439,62.23,2.23,493759,101.6495,208.70867,4.1,13911,199.3,1.42
28/02/2018,249.581,62.73,2.16,493373,102.298,209.5228445,4,13966.4,199.3,1.51
31/03/2018,250.146,66.25,2.21,495025,103.4095,210.1862642,4,13994,200.3,1.69
30/04/2018,250.779,69.98,2.18,500719,102.5408,210.8251433,3.8,14057.8,203.2,1.7
31/05/2018,251.118,67.87,2.17,499631,103.3045,211.4618088,4,14119.4,204.2,1.82
30/06/2018,251.323,70.98,2.2,502962,103.5474,211.9480973,3.8,14154.2,204.3,1.91
31/07/2018,251.749,68.06,2.22,501913,104.1659,212.4592652,3.8,14205.8,203.4,1.91
31/08/2018,252.239,70.23,2.24,500362,104.1315,212.9311491,3.7,14233.3,203.6,1.95
30/09/2018,252.862,70.75,2.23,506010,103.9874,213.4228933,3.8,14247.4,204.6,2.19
31/10/2018,252.657,56.96,2.17,506973,103.9127,213.6695828,3.8,14260.4,202.3,2.2
30/11/2018,252.551,49.52,2.02,496593,103.867,213.9224448,3.9,14376.9,201,2.27
31/12/2018,252.47,51.38,1.96,502724,103.3023,214.1325784,4,14449.1,199.1,2.4
31/01/2019,253.135,54.95,2,502627,102.728,214.4605857,3.8,14490.4,199.2,2.4
28/02/2019,254.273,58.15,2.01,510320,102.8635,214.6151936,3.8,14530.1,200.8,2.41
31/03/2019,255.163,63.86,2.03,512326,102.2543,215.2417446,3.6,14560.6,202.1,2.42
30/04/2019,255.325,60.83,1.94,513870,102.4519,215.7303269,3.6,14651.1,201.7,2.39
31/05/2019,255.361,54.66,1.85,515911,102.384,216.0769678,3.6,14773.7,200.3,2.38
30/06/2019,255.9,57.35,1.93,519447,102.0568,216.3722196,3.7,14852.5,200.7,2.4
31/07/2019,256.179,54.81,1.79,521833,102.6882,216.9536722,3.7,14938.4,199.2,2.13
31/08/2019,256.596,56.95,1.78,518605,102.3143,217.4857998,3.5,15023.5,198.4,2.04
30/09/2019,257.305,53.96,1.72,521114,101.4645,218.1916845,3.6,15163.5,198.6,1.83
31/10/2019,257.788,57.03,1.73,522805,101.9876,219.020137,3.6,15268.9,199,1.55
30/11/2019,258.263,59.88,1.81,523862,101.6179,219.8582881,3.6,15337.9,199,1.55
31/12/2019,258.682,57.52,1.79,526930,101.0918,220.7252135,3.5,15420.3,199.3,1.55
31/01/2020,259.007,50.54,1.65,525810,101.3247,221.9318872,3.5,15477.6,196.7,1.58
29/02/2020,258.165,29.21,1.3,480407,97.4477,222.9249855,4.4,16008,193.1,0.65
31/03/2020,256.094,16.55,1.45,409819,84.2018,223.5064329,14.7,17022.7,185.5,0.05
30/04/2020,255.944,28.56,1.47,484295,85.8434,223.4782791,13.2,17856.5,188.6,0.05
31/05/2020,257.217,38.31,1.53,526187,91.1622,223.6884987,11,18153,191.2,0.08
30/06/2020,258.543,40.71,1.6,533517,94.8887,225.5061715,10.2,18302.5,193,0.09
31/07/2020,259.58,42.34,1.77,537980,95.8924,228.7849522,8.4,18384.7,194.3,0.1
31/08/2020,260.19,39.63,1.78,549211,95.6019,232.1929768,7.9,18601.8,195.5,0.09
30/09/2020,260.352,39.4,1.85,548930,96.6454,235.8393263,6.9,18763.6,196.5,0.09
31/10/2020,260.721,40.94,1.8,540495,97.1609,239.1485195,6.7,18998.5,198.3,0.09
30/11/2020,261.564,47.02,1.97,536629,98.2854,242.147118,6.7,19154.9,200.5,0.09
31/12/2020,262.2,52,2.06,575520,99.4076,245.4085119,6.4,19403.9,204.8,0.09
31/01/2021,263.346,59.04,2.05,559554,96.3966,248.8385577,6.2,19649.9,210.6,0.08
28/02/2021,265.028,62.33,2.05,623119,99.1618,253.07805,6,19892,215,0.07
31/03/2021,266.727,61.72,2.17,628751,99.2416,257.4305549,6,20152.4,217.9,0.07
30/04/2021,268.599,65.17,2.29,620119,99.9226,262.0493373,5.8,20462.9,224.9,0.06
31/05/2021,270.955,71.38,2.22,625405,100.4704,266.6953334,5.9,20504.8,228.9,0.08
30/06/2021,272.184,72.49,2.16,615250,101.1676,270.7120123,5.4,20671.1,231.85,0.1
31/07/2021,273.092,67.73,2.2,622383,101.0927,273.8771024,5.2,20905.2,233.415,0.09
31/08/2021,274.214,71.65,2.19,626999,99.8606,276.665184,4.7,21045.7,235.678,0.08
30/09/2021,276.59,81.48,2.33,638102,101.2169,279.4966546,4.6,21200.5,240.465,0.08
31/10/2021,278.524,79.15,2.25,642636,102.0298,283.0265351,4.2,21407.2,243.272,0.08
30/11/2021,280.126,71.71,2.17,625459,101.6188,287.0892842,3.9,21553.1,241.321,0.08
31/12/2021,281.933,83.22,2.1,656117,103.0309,292.2430422,4,21728.9,245.407,0.08
31/01/2022,284.182,91.64,2.05,644589,103.5811,295.25452,3.8,21811.8,252.838,0.08
